rid,date,origin,destination,gbtt_ptd,gbtt_pta,toc_code
202403276728789,2024-03-27,KGX,ABD,1600,2020,GR
202403286728789,2024-03-28,KGX,ABD,1600,2020,GR
202403296728789,2024-03-29,KGX,ABD,1600,2020,GR
202403256728837,2024-03-25,KGX,EDB,1630,2114,GR
202403266728837,2024-03-26,KGX,EDB,1630,2114,GR
202403276728837,2024-03-27,KGX,EDB,1630,2114,GR
202403286728837,2024-03-28,KGX,EDB,1630,2114,GR
202403296728837,2024-03-29,KGX,EDB,1630,2114,GR
202403256728855,2024-03-25,KGX,EDB,1700,2124,GR
202403266728855,2024-03-26,KGX,EDB,1700,2124,GR
202403276728855,2024-03-27,KGX,EDB,1700,2124,GR
202403286728855,2024-03-28,KGX,EDB,1700,2124,GR
202403296728855,2024-03-29,KGX,EDB,1700,2124,GR
202403256728859,2024-03-25,KGX,EDB,1730,2208,GR
202403266728859,2024-03-26,KGX,EDB,1730,2208,GR
202403276728859,2024-03-27,KGX,EDB,1730,2208,GR
202403286728859,2024-03-28,KGX,EDB,1730,2208,GR
202403296728859,2024-03-29,KGX,EDB,1730,2208,GR
202403256728885,2024-03-25,KGX,EDB,1800,2220,GR
202403266728885,2024-03-26,KGX,EDB,1800,2220,GR
202403276728885,2024-03-27,KGX,EDB,1800,2220,GR
202403286728885,2024-03-28,KGX,EDB,1800,2220,GR
202403296728885,2024-03-29,KGX,EDB,1800,2220,GR
202403256728860,2024-03-25,KGX,EDB,1830,2316,GR
202403266728860,2024-03-26,KGX,EDB,1830,2316,GR
202403276728860,2024-03-27,KGX,EDB,1830,2316,GR
202403286728860,2024-03-28,KGX,EDB,1830,2316,GR
202403296728860,2024-03-29,KGX,EDB,1830,2316,GR
202403256728868,2024-03-25,KGX,EDB,1900,2324,GR
202403266728868,2024-03-26,KGX,EDB,1900,2324,GR
202403276728868,2024-03-27,KGX,EDB,1900,2324,GR
202403286728868,2024-03-28,KGX,EDB,1900,2324,GR
202403296728868,2024-03-29,KGX,EDB,1900,2324,GR
202404016728789,2024-04-01,KGX,ABD,1600,2020,GR
202404026728789,2024-04-02,KGX,ABD,1600,2020,GR
202404036728789,2024-04-03,KGX,ABD,1600,2020,GR
202404046728789,2024-04-04,KGX,ABD,1600,2020,GR
202404056728789,2024-04-05,KGX,ABD,1600,2020,GR
202404016728837,2024-04-01,KGX,EDB,1630,2114,GR
202404026728837,2024-04-02,KGX,EDB,1630,2114,GR
202404036728837,2024-04-03,KGX,EDB,1630,2114,GR
202404046728837,2024-04-04,KGX,EDB,1630,2114,GR
202404057812585,2024-04-05,KGX,EDB,1630,2124,GR
202404016728855,2024-04-01,KGX,EDB,1700,2124,GR
202404026728855,2024-04-02,KGX,EDB,1700,2124,GR
202404036728855,2024-04-03,KGX,EDB,1700,2124,GR
202404046728855,2024-04-04,KGX,EDB,1700,2124,GR
202404016728859,2024-04-01,KGX,EDB,1730,2208,GR
202404026728859,2024-04-02,KGX,EDB,1730,2208,GR
202404036728859,2024-04-03,KGX,EDB,1730,2208,GR
202404046728859,2024-04-04,KGX,EDB,1730,2208,GR
202404056728859,2024-04-05,KGX,EDB,1730,2208,GR
202404016728885,2024-04-01,KGX,EDB,1800,2220,GR
202404026728885,2024-04-02,KGX,EDB,1800,2220,GR
202404036728885,2024-04-03,KGX,EDB,1800,2220,GR
202404046728885,2024-04-04,KGX,EDB,1800,2220,GR
202404056728885,2024-04-05,KGX,EDB,1800,2220,GR
202404016728860,2024-04-01,KGX,EDB,1830,2316,GR
202404026728860,2024-04-02,KGX,EDB,1830,2316,GR
202404036728860,2024-04-03,KGX,EDB,1830,2316,GR
202404046728860,2024-04-04,KGX,EDB,1830,2316,GR
202404057812583,2024-04-05,KGX,EDB,1830,2316,GR
202404016728868,2024-04-01,KGX,EDB,1900,2324,GR
202404026728868,2024-04-02,KGX,EDB,1900,2324,GR
202404036728868,2024-04-03,KGX,EDB,1900,2324,GR
202404046728868,2024-04-04,KGX,EDB,1900,2324,GR
202404056728868,2024-04-05,KGX,EDB,1900,2324,GR
202404086728789,2024-04-08,KGX,ABD,1600,2020,GR
202404096728789,2024-04-09,KGX,ABD,1600,2020,GR
202404106728789,2024-04-10,KGX,ABD,1600,2020,GR
202404116728789,2024-04-11,KGX,ABD,1600,2020,GR
202404126728789,2024-04-12,KGX,ABD,1600,2020,GR
202404086728837,2024-04-08,KGX,EDB,1630,2114,GR
202404096728837,2024-04-09,KGX,EDB,1630,2114,GR
202404106728837,2024-04-10,KGX,EDB,1630,2114,GR
202404116728837,2024-04-11,KGX,EDB,1630,2114,GR
202404126728837,2024-04-12,KGX,EDB,1630,2114,GR
202404086728855,2024-04-08,KGX,EDB,1700,2124,GR
202404096728855,2024-04-09,KGX,EDB,1700,2124,GR
202404106728855,2024-04-10,KGX,EDB,1700,2124,GR
202404116728855,2024-04-11,KGX,EDB,1700,2124,GR
202404126728855,2024-04-12,KGX,EDB,1700,2124,GR
202404086728859,2024-04-08,KGX,EDB,1730,2208,GR
202404096728859,2024-04-09,KGX,EDB,1730,2208,GR
202404106728859,2024-04-10,KGX,EDB,1730,2208,GR
202404116728859,2024-04-11,KGX,EDB,1730,2208,GR
202404126728859,2024-04-12,KGX,EDB,1730,2208,GR
202404086728885,2024-04-08,KGX,EDB,1800,2220,GR
202404096728885,2024-04-09,KGX,EDB,1800,2220,GR
202404106728885,2024-04-10,KGX,EDB,1800,2220,GR
202404116728885,2024-04-11,KGX,EDB,1800,2220,GR
202404126728885,2024-04-12,KGX,EDB,1800,2220,GR
202404086728860,2024-04-08,KGX,EDB,1830,2316,GR
